LAST SEEN   TYPE      REASON                         OBJECT                                  MESSAGE
23m         Normal    Pulling                        pod/live-mysql-77955567f6-6h62r         Pulling image "mysql:8.0"
23m         Warning   Unhealthy                      pod/user-service-7b9964f67b-pl4rn       Liveness probe failed: HTTP probe failed with statuscode: 503
23m         Warning   Unhealthy                      pod/user-service-7b9964f67b-pl4rn       Readiness probe failed: Get "http://10.244.0.22:8081/actuator/health": context deadline exceeded (Client.Timeout exceeded while awaiting headers)
22m         Warning   Failed                         pod/live-mysql-77955567f6-6h62r         Error: ErrImagePull
22m         Warning   Failed                         pod/live-mysql-77955567f6-6h62r         Failed to pull image "mysql:8.0": failed to pull and unpack image "docker.io/library/mysql:8.0": failed to resolve reference "docker.io/library/mysql:8.0": unexpected status from HEAD request to http://registry-mirror:1273/v2/library/mysql/manifests/8.0?ns=docker.io: 500 Internal Server Error
22m         Normal    Killing                        pod/user-service-7b9964f67b-pl4rn       Container user-service failed liveness probe, will be restarted
22m         Normal    ScalingReplicaSet              deployment/user-mysql                   Scaled up replica set user-mysql-c57bcb9d7 from 0 to 1
22m         Normal    SuccessfulCreate               replicaset/user-mysql-c57bcb9d7         Created pod: user-mysql-c57bcb9d7-x8x54
22m         Normal    ScalingReplicaSet              deployment/live-service                 Scaled up replica set live-service-784cd54867 from 0 to 1
22m         Normal    SuccessfulCreate               replicaset/live-service-784cd54867      Created pod: live-service-784cd54867-k2fdr
22m         Normal    Created                        pod/user-mysql-c57bcb9d7-x8x54          Created container: mysql
22m         Normal    Killing                        pod/live-service-7d5bd6ff4-qrvhw        Stopping container live-service
22m         Normal    ScalingReplicaSet              deployment/live-mysql                   Scaled up replica set live-mysql-bdfd86b7b from 0 to 1
22m         Normal    SuccessfulDelete               replicaset/live-service-7d5bd6ff4       Deleted pod: live-service-7d5bd6ff4-qrvhw
22m         Normal    SuccessfulCreate               replicaset/live-mysql-bdfd86b7b         Created pod: live-mysql-bdfd86b7b-54wzw
22m         Normal    Started                        pod/user-mysql-c57bcb9d7-x8x54          Started container mysql
22m         Normal    Pulled                         pod/user-service-5f97b7d5fd-xbplm       Container image "hangyin/user-service:local" already present on machine
22m         Normal    Created                        pod/user-service-5f97b7d5fd-xbplm       Created container: user-service
22m         Normal    Created                        pod/user-service-7b9964f67b-pl4rn       Created container: user-service
22m         Normal    Started                        pod/user-service-5f97b7d5fd-xbplm       Started container user-service
22m         Normal    Started                        pod/live-mysql-bdfd86b7b-54wzw          Started container mysql
22m         Normal    Pulled                         pod/live-mysql-bdfd86b7b-54wzw          Container image "mysql:8.4" already present on machine
22m         Normal    Pulled                         pod/user-mysql-c57bcb9d7-x8x54          Container image "mysql:8.4" already present on machine
22m         Normal    Created                        pod/live-mysql-bdfd86b7b-54wzw          Created container: mysql
22m         Normal    ScalingReplicaSet              deployment/live-service                 Scaled down replica set live-service-7d5bd6ff4 from 1 to 0
22m         Normal    Started                        pod/user-service-7b9964f67b-pl4rn       Started container user-service
22m         Normal    ScalingReplicaSet              deployment/user-service                 Scaled up replica set user-service-5f97b7d5fd from 0 to 1
22m         Normal    Pulled                         pod/user-service-7b9964f67b-pl4rn       Container image "hangyin/user-service:local" already present on machine
22m         Normal    SuccessfulCreate               replicaset/user-service-5f97b7d5fd      Created pod: user-service-5f97b7d5fd-xbplm
22m         Warning   Failed                         pod/live-mysql-77955567f6-6h62r         Error: ImagePullBackOff
22m         Normal    BackOff                        pod/live-mysql-77955567f6-6h62r         Back-off pulling image "mysql:8.0"
22m         Warning   Unhealthy                      pod/live-mysql-bdfd86b7b-54wzw          Readiness probe failed: mysqladmin: [Warning] Using a password on the command line interface can be insecure.
22m         Normal    Pulling                        pod/live-service-848cd5bc58-pb76k       Pulling image "hangyin/live-service:0.1.0"
22m         Normal    SuccessfulDelete               replicaset/live-mysql-77955567f6        Deleted pod: live-mysql-77955567f6-6h62r
22m         Normal    ScalingReplicaSet              deployment/live-mysql                   Scaled down replica set live-mysql-77955567f6 from 1 to 0
22m         Warning   Unhealthy                      pod/user-service-5f97b7d5fd-xbplm       Readiness probe failed: Get "http://10.244.0.25:8081/actuator/health": context deadline exceeded (Client.Timeout exceeded while awaiting headers)
22m         Normal    BackOff                        pod/live-service-784cd54867-k2fdr       Back-off pulling image "hangyin/live-service:0.1.0"
22m         Warning   Failed                         pod/live-service-784cd54867-k2fdr       Error: ImagePullBackOff
22m         Normal    ScalingReplicaSet              deployment/user-service                 Scaled down replica set user-service-7b9964f67b from 1 to 0
22m         Normal    Killing                        pod/user-service-7b9964f67b-pl4rn       Stopping container user-service
22m         Normal    SuccessfulDelete               replicaset/user-service-7b9964f67b      Deleted pod: user-service-7b9964f67b-pl4rn
21m         Normal    Pulling                        pod/live-service-784cd54867-k2fdr       Pulling image "hangyin/live-service:0.1.0"
21m         Warning   Failed                         pod/live-service-848cd5bc58-pb76k       Failed to pull image "hangyin/live-service:0.1.0": failed to pull and unpack image "docker.io/hangyin/live-service:0.1.0": failed to resolve reference "docker.io/hangyin/live-service:0.1.0": unexpected status from HEAD request to http://registry-mirror:1273/v2/hangyin/live-service/manifests/0.1.0?ns=docker.io: 500 Internal Server Error
21m         Warning   Failed                         pod/live-service-848cd5bc58-pb76k       Error: ErrImagePull
21m         Warning   Failed                         pod/live-service-848cd5bc58-pb76k       Error: ImagePullBackOff
21m         Normal    BackOff                        pod/live-service-848cd5bc58-pb76k       Back-off pulling image "hangyin/live-service:0.1.0"
21m         Normal    Started                        pod/live-service-f7b4cc867-zfj69        Started container live-service
21m         Normal    SuccessfulCreate               replicaset/live-service-f7b4cc867       Created pod: live-service-f7b4cc867-zfj69
21m         Normal    ScalingReplicaSet              deployment/live-service                 Scaled up replica set live-service-f7b4cc867 from 0 to 1
21m         Normal    ScalingReplicaSet              deployment/live-service                 Scaled down replica set live-service-848cd5bc58 from 1 to 0
21m         Normal    SuccessfulDelete               replicaset/live-service-848cd5bc58      Deleted pod: live-service-848cd5bc58-pb76k
21m         Normal    Pulled                         pod/live-service-f7b4cc867-zfj69        Container image "hangyin/live-service:local" already present on machine
21m         Normal    Created                        pod/live-service-f7b4cc867-zfj69        Created container: live-service
21m         Warning   Failed                         pod/live-service-784cd54867-k2fdr       Error: ErrImagePull
21m         Warning   Failed                         pod/live-service-784cd54867-k2fdr       Failed to pull image "hangyin/live-service:0.1.0": failed to pull and unpack image "docker.io/hangyin/live-service:0.1.0": failed to resolve reference "docker.io/hangyin/live-service:0.1.0": unexpected status from HEAD request to http://registry-mirror:1273/v2/hangyin/live-service/manifests/0.1.0?ns=docker.io: 500 Internal Server Error
21m         Warning   Unhealthy                      pod/live-service-f7b4cc867-zfj69        Startup probe failed: Get "http://10.244.0.28:8090/actuator/health": dial tcp 10.244.0.28:8090: connect: connection refused
21m         Normal    SuccessfulDelete               replicaset/live-service-784cd54867      Deleted pod: live-service-784cd54867-k2fdr
21m         Normal    ScalingReplicaSet              deployment/live-service                 Scaled down replica set live-service-784cd54867 from 1 to 0
19m         Warning   FailedGetResourceMetric        horizontalpodautoscaler/live-service    failed to get cpu utilization: unable to get metrics for resource cpu: unable to fetch metrics from resource metrics API: the server could not find the requested resource (get pods.metrics.k8s.io)
19m         Warning   FailedGetResourceMetric        horizontalpodautoscaler/video-service   failed to get cpu utilization: unable to get metrics for resource cpu: unable to fetch metrics from resource metrics API: the server could not find the requested resource (get pods.metrics.k8s.io)
19m         Warning   FailedGetResourceMetric        horizontalpodautoscaler/user-service    failed to get cpu utilization: unable to get metrics for resource cpu: unable to fetch metrics from resource metrics API: the server could not find the requested resource (get pods.metrics.k8s.io)
14m         Warning   FailedGetResourceMetric        horizontalpodautoscaler/user-service    failed to get cpu utilization: unable to get metrics for resource cpu: unable to fetch metrics from resource metrics API: the server is currently unable to handle the request (get pods.metrics.k8s.io)
14m         Warning   FailedGetResourceMetric        horizontalpodautoscaler/video-service   failed to get cpu utilization: unable to get metrics for resource cpu: unable to fetch metrics from resource metrics API: the server is currently unable to handle the request (get pods.metrics.k8s.io)
14m         Warning   FailedGetResourceMetric        horizontalpodautoscaler/live-service    failed to get cpu utilization: unable to get metrics for resource cpu: unable to fetch metrics from resource metrics API: the server is currently unable to handle the request (get pods.metrics.k8s.io)
8m26s       Warning   Failed                         pod/hpa-load-20260903-014844            Failed to pull image "busybox:1.36": failed to pull and unpack image "docker.io/library/busybox:1.36": failed to resolve reference "docker.io/library/busybox:1.36": unexpected status from HEAD request to http://registry-mirror:1273/v2/library/busybox/manifests/1.36?ns=docker.io: 500 Internal Server Error
8m26s       Warning   Failed                         pod/hpa-load-20260903-014844            Error: ErrImagePull
8m21s       Normal    Pulling                        pod/hpa-load-20260903-015017-1          Pulling image "busybox:1.36"
8m20s       Normal    Pulling                        pod/hpa-load-20260903-015017-5          Pulling image "busybox:1.36"
8m20s       Normal    Pulling                        pod/hpa-load-20260903-015017-8          Pulling image "busybox:1.36"
8m20s       Normal    Pulling                        pod/hpa-load-20260903-015017-7          Pulling image "busybox:1.36"
8m20s       Normal    Pulling                        pod/hpa-load-20260903-015017-4          Pulling image "busybox:1.36"
8m20s       Normal    Pulling                        pod/hpa-load-20260903-015017-9          Pulling image "busybox:1.36"
8m20s       Normal    Pulling                        pod/hpa-load-20260903-015017-3          Pulling image "busybox:1.36"
8m20s       Normal    Pulling                        pod/hpa-load-20260903-015017-6          Pulling image "busybox:1.36"
8m20s       Normal    Pulling                        pod/hpa-load-20260903-015017-2          Pulling image "busybox:1.36"
8m19s       Normal    Pulling                        pod/hpa-load-20260903-015017-10         Pulling image "busybox:1.36"
